Date,CPI_Food,Model,YoY_inflation
2025-09-30,190.46075560067604,"ARIMA(1,1,1)",0.02848898414905575
2025-10-31,190.92017617449218,"ARIMA(1,1,1)",0.02848898414905575
2025-11-30,191.37826558965259,"ARIMA(1,1,1)",0.02848898414905575
2025-12-31,191.83502770315334,"ARIMA(1,1,1)",0.02848898414905575
2026-01-31,192.29046636081503,"ARIMA(1,1,1)",0.02848898414905575
2026-02-28,192.74458539731506,"ARIMA(1,1,1)",0.02848898414905575
2026-03-31,193.19738863621998,"ARIMA(1,1,1)",0.02848898414905575
2026-04-30,193.6488798900176,"ARIMA(1,1,1)",0.02848898414905575
2026-05-31,194.09906296014927,"ARIMA(1,1,1)",0.02848898414905575
2026-06-30,194.54794163704162,"ARIMA(1,1,1)",0.02848898414905575
2026-07-31,194.99551970013871,"ARIMA(1,1,1)",0.02848898414905575
2026-08-31,195.44180091793376,"ARIMA(1,1,1)",0.02848898414905575
2026-09-30,195.88678904800088,"ARIMA(1,1,1)",0.02848898414905575
2026-10-31,196.33048783702668,"ARIMA(1,1,1)",0.028338082286231095
2026-11-30,196.77290102084189,"ARIMA(1,1,1)",0.028188339018372716
2026-12-31,197.21403232445272,"ARIMA(1,1,1)",0.02803974167649339
2027-01-31,197.6538854620723,"ARIMA(1,1,1)",0.027892277775193104
2027-02-28,198.09246413715198,"ARIMA(1,1,1)",0.027745935009344296
2027-03-31,198.52977204241236,"ARIMA(1,1,1)",0.027600701250848483
2027-04-30,198.96581285987457,"ARIMA(1,1,1)",0.02745656454546343
2027-05-31,199.40059026089114,"ARIMA(1,1,1)",0.02731351310969662
2027-06-30,199.83410790617697,"ARIMA(1,1,1)",0.027171535327767622
2027-07-31,200.26636944584013,"ARIMA(1,1,1)",0.027030619748632422
2027-08-31,200.69737851941258,"ARIMA(1,1,1)",0.02689075508307275
2027-09-30,201.12713875588088,"ARIMA(1,1,1)",0.026751930200846184
2027-10-31,201.55565377371667,"ARIMA(1,1,1)",0.02661413412789655
2027-11-30,201.98292718090718,"ARIMA(1,1,1)",0.026477356043622384
2027-12-31,202.4089625749856,"ARIMA(1,1,1)",0.026341585278203117
2028-01-31,202.83376354306134,"ARIMA(1,1,1)",0.026206811309980503
2028-02-29,203.25733366185028,"ARIMA(1,1,1)",0.02607302376289457
2028-03-31,203.67967649770483,"ARIMA(1,1,1)",0.02594021240397277
2028-04-30,204.10079560664406,"ARIMA(1,1,1)",0.025808367140871025
2028-05-31,204.5206945343835,"ARIMA(1,1,1)",0.0256774780194649
2028-06-30,204.93937681636507,"ARIMA(1,1,1)",0.025547535221490062
2028-07-31,205.3568459777869,"ARIMA(1,1,1)",0.025418529062231923
2028-08-31,205.7731055336329,"ARIMA(1,1,1)",0.025290449988261143
2028-09-30,206.18815898870244,"ARIMA(1,1,1)",0.025163288575215114
2028-10-31,206.60200983763983,"ARIMA(1,1,1)",0.025037035525625195
2028-11-30,207.0146615649637,"ARIMA(1,1,1)",0.024911681666786638
2028-12-31,207.4261176450964,"ARIMA(1,1,1)",0.024787217948672273
2029-01-31,207.8363815423933,"ARIMA(1,1,1)",0.024663635441886926
2029-02-28,208.2454567111718,"ARIMA(1,1,1)",0.024540925335663592
2029-03-31,208.6533465957406,"ARIMA(1,1,1)",0.024419078935898713
2029-04-30,209.0600546304285,"ARIMA(1,1,1)",0.024298087663226223
2029-05-31,209.46558423961352,"ARIMA(1,1,1)",0.024177943051130718
2029-06-30,209.8699388377516,"ARIMA(1,1,1)",0.0240586367440969
2029-07-31,210.27312182940534,"ARIMA(1,1,1)",0.023940160495794897
2029-08-31,210.6751366092728,"ARIMA(1,1,1)",0.023822506167302273
2029-09-30,211.075986562216,"ARIMA(1,1,1)",0.02370566572536
2029-10-31,211.47567506328932,"ARIMA(1,1,1)",0.023589631240661723
2029-11-30,211.87420547776804,"ARIMA(1,1,1)",0.023474394886177526
2029-12-31,212.2715811611767,"ARIMA(1,1,1)",0.02335994893550877
2030-01-31,212.66780545931726,"ARIMA(1,1,1)",0.023246285761275538
2030-02-28,213.0628817082973,"ARIMA(1,1,1)",0.023133397833533898
2030-03-31,213.45681323455818,"ARIMA(1,1,1)",0.02302127771822491
2030-04-30,213.8496033549029,"ARIMA(1,1,1)",0.022909918075651767
2030-05-31,214.24125537652418,"ARIMA(1,1,1)",0.022799311658986597
2030-06-30,214.63177259703218,"ARIMA(1,1,1)",0.022689451312805302
2030-07-31,215.02115830448236,"ARIMA(1,1,1)",0.02258032997165039
2030-08-31,215.40941577740313,"ARIMA(1,1,1)",0.02247194065862035
